FileName,SKU,Scale_1,Scale_2,Scale_3,Scale_4
CARTOON_PATTERN_5.jpg,0106,15,30,45,70
cheetah_0003_4.jpg,0107,75,100,125,150
WONDERLAND_PATTERN_8.jpg,0108,30,70,100,150
llama -03.jpg,0109,30,70,100,150
PORTRAIT_PATTERN_30.jpg,0110,15,30,45,70
SPRING_PATTERN_13.jpg,0111,15,30,45,70
UNIVERSAL_PATTERN#2_30.jpg,0112,15,30,45,70
CUPCAKE_PATTERN_3.jpg,0113,15,30,45,70
CUTE_FOREST_PATTERN_4.jpg,0114,25,50,75,100
BLOOMING_PATTERN_12.jpg,0115,15,30,45,70
PATTERN_72.jpg,0116,15,30,45,70
PORTRAIT_PATTERN_1.jpg,0117,15,30,45,70
CUTE_FOREST_PATTERN_9.jpg,0118,15,30,45,70
pf3.jpg,0119,25,50,75,100
pf4.jpg,0120,25,50,75,100
WATERCOLOR_TEXTURE_8.jpg,0121,15,30,45,70
dark green tile.jpg,0122,30,70,100,150
cheetah_0017_18.jpg,0123,30,70,100,150
dark red tile.jpg,0124,30,70,100,150
WATERCOLOR_TEXTURE_22.jpg,0125,15,30,45,70
SPRING_PATTERN_7.jpg,0126,15,30,45,70
WONDERLAND_PATTERN_11.jpg,0127,25,50,75,100
VERY_FRIENDLY_PATTERN_20.jpg,0128,15,30,45,70
FLORAL&GEOMETRIC_PATTERN_6.jpg,0129,30,70,100,150
CARTOON_PATTERN_10.jpg,0130,15,30,45,70
FLORAL_PATTERN_5.jpg,0131,15,30,45,70
VERY_FRIENDLY_PATTERN_19.jpg,0132,15,30,45,70
SPRING_PATTERN_6.jpg,0133,15,30,45,70
WINTER_PATTERN#1_26.jpg,0134,25,50,75,100
WINTER_PATTERN#1_27.jpg,0135,25,50,75,100
NORTHERN_WINTER_PATTERN_2.jpg,0136,15,30,45,70
SAFARI_PATTERN_3.jpg,0137,25,50,75,100
UNIVERSAL_PATTERN#2_45.jpg,0138,25,50,75,100
lullaby llama_0015_l.jpg,0139,30,70,100,150
pf10.jpg,0140,25,50,75,100
FLORAL_PATTERN_10.jpg,0141,15,30,45,70
SPORTS-PAPERS-04.jpg,0142,25,50,75,100
CUTE_FOREST_PATTERN_2.jpg,0143,25,50,75,100
SPRING_PATTERN_3.jpg,0144,15,30,45,70
CARTOON_PATTERN_14.jpg,0145,15,30,45,70
CARTOON_PATTERN_1.jpg,0146,15,30,45,70
SPRING_PATTERN_18.jpg,0147,15,30,45,70
SPRING_PATTERN_2.jpg,0148,15,30,45,70
SPRING_PATTERN_10.jpg,0149,15,30,45,70
COLOR_PATTERN_20.jpg,0150,15,30,45,70
CUPCAKE_PATTERN_1.jpg,0151,25,50,75,100
pattern_0014_4.jpg,0152,30,70,100,150
VERY_FRIENDLY_PATTERN_1.jpg,0153,15,30,45,70
SUMMER_PATTERN_10.jpg,0154,15,30,45,70
FOOTBALL PAPERS-04.jpg,0155,30,70,100,150
lullaby llama_0004_l.jpg,0156,30,70,100,150
PATTERN_402.jpg,0157,30,70,100,150
UNIVERSAL_PATTERN_1.jpg,0158,30,70,100,150
NORTHERN_WINTER_PATTERN_9.jpg,0159,25,50,75,100
UNIVERSAL_PATTERN_17.jpg,0160,25,50,75,100
Chevron10.jpg,0161,30,70,100,150
seamless mermaid papers_0004_x.jpg,0162,30,70,100,150
PATTERN_504.jpg,0163,15,30,45,70
FLORAL_PATTERN_1.jpg,0164,25,50,75,100
lullaby llama_0018_l.jpg,0165,30,70,100,150
UNIVERSAL_PATTERN_14.jpg,0166,25,50,75,100
gray tile.jpg,0167,30,70,100,150
PATTERN_545.jpg,0168,15,30,45,70
PATTERN_415.jpg,0169,15,30,45,70
pattern_0010_8.jpg,0170,30,70,100,150
UNIVERSAL_PATTERN_15.jpg,0171,25,50,75,100
UNIVERSAL_PATTERN_9.jpg,0172,25,50,75,100
WATERCOLOR_TEXTURE_10.jpg,0173,15,30,45,70
HAND_DRAWN_PATTERN#1_6.jpg,0174,25,50,75,100
HAND_DRAWN_PATTERN#2_27.jpg,0175,15,30,45,70
green tile.jpg,0176,30,70,100,150
PORTRAIT_PATTERN_83.jpg,0177,15,30,45,70
PATTERN_400.jpg,0178,30,70,100,150
cheetah_0014_15.jpg,0179,30,70,100,150
HAND_DRAWN_PATTERN#1_2.jpg,0180,25,50,75,100
PORTRAIT_PATTERN_3.jpg,0181,15,30,45,70
PARTY_PATTERN_12.jpg,0182,25,50,75,100
PATTERN_4_LUCITE_GREEN.jpg,0183,15,30,45,70
seamless mermaid papers_0006_x.jpg,0184,30,70,100,150
pattern_0006_12.jpg,0185,30,70,100,150
UNIVERSAL_PATTERN_4.jpg,0186,30,70,100,150
CUPCAKE_PATTERN_4.jpg,0187,30,70,100,150
SUMMER_PATTERN_2.jpg,0188,15,30,45,70
PATTERN_92.jpg,0189,25,50,75,100
seamless mermaid papers_0002_x.jpg,0190,30,70,100,150
PATTERN_417.jpg,0191,15,30,45,70
PATTERN_506.jpg,0192,15,30,45,70
UNIVERSAL_PATTERN_19.jpg,0193,30,70,100,150
PATTERN_375.jpg,0194,15,30,45,70
UNIVERSAL_PATTERN_11.jpg,0195,25,50,75,100
PARTY_PATTERN_2.jpg,0196,25,50,75,100
FLORAL&GEOMETRIC_PATTERN_5.jpg,0197,30,70,100,150
LINES_PATTERN_20.jpg,0198,30,70,100,150
LINES_PATTERN_4.jpg,0199,30,70,100,150
UNIVERSAL_PATTERN#2_42.jpg,0200,15,30,45,70
WATERCOLOR_TEXTURE_21.jpg,0201,15,30,45,70
PATTERN_74.jpg,0202,15,30,45,70
pattern_0002_16.jpg,0203,30,70,100,150
WATERCOLOR_PATTERN_5.jpg,0204,15,30,45,70
PATTERN_147.jpg,0205,25,50,75,100
pattern_0011_7.jpg,0206,30,70,100,150
UNIVERSAL_PATTERN#2_1.jpg,0207,15,30,45,70
PATTERN_4_GLASIER_GRAY.jpg,0208,15,30,45,70
GEOMETRIC_PATTERN_1_GLASIER_GRAY.jpg,0209,30,70,100,150
GEOMETRIC_PATTERN_3_GLASIER_GRAY.jpg,0210,25,50,75,100
UNIVERSAL_PATTERN#2_10.jpg,0211,15,30,45,70
PORTRAIT_PATTERN_73.jpg,0212,15,30,45,70
COLOR_PATTERN_18.jpg,0213,25,50,75,100
PORTRAIT_PATTERN_54.jpg,0214,15,30,45,70
WATERCOLOR_TEXTURE_18.jpg,0215,15,30,45,70
HALLOWEEN_PATTERN_3.jpg,0216,25,50,75,100
HALLOWEEN_PATTERN_6.jpg,0217,25,50,75,100
HALLOWEEN_PATTERN_4.jpg,0218,25,50,75,100
HALLOWEEN_PATTERN_5.jpg,0219,25,50,75,100
HALLOWEEN_PATTERN_1.jpg,0220,25,50,75,100
HALLOWEEN_PATTERN_2.jpg,0221,25,50,75,100
HAND_DRAWN_PATTERN#2_30.jpg,0222,30,70,100,150
SPRING_PATTERN_5.jpg,0223,15,30,45,70
FLORAL_PATTERN_9.jpg,0224,15,30,45,70
CUPCAKE_PATTERN_2.jpg,0225,25,50,75,100
SPORTS-PAPERS-05.jpg,0226,25,50,75,100
WONDERLAND_PATTERN_15.jpg,0227,25,50,75,100
CARTOON_PATTERN_7.jpg,0228,15,30,45,70
PS789-03.jpg,0229,25,50,75,100
cheetah_0000_1.jpg,0230,75,100,125,150
Chevron5.jpg,0231,30,70,100,150
CUTE_STAMPS_PATTERN_1.jpg,0232,15,30,45,70
WINTER_PATTERN#1_2.jpg,0233,15,30,45,70
CARTOON_PATTERN_17.jpg,0234,15,30,45,70
WONDERLAND_PATTERN_30.jpg,0235,25,50,75,100
PATTERN_427.jpg,0236,30,70,100,150
PORTRAIT_PATTERN_5.jpg,0237,15,30,45,70
PATTERN_505.jpg,0238,15,30,45,70
COLOR_PATTERN_9.jpg,0239,25,50,75,100
PORTRAIT_PATTERN_79.jpg,0240,15,30,45,70
PORTRAIT_PATTERN_57.jpg,0241,15,30,45,70
PATTERN_401.jpg,0242,30,70,100,150
UNIVERSAL_PATTERN#2_20.jpg,0243,15,30,45,70
Chevron6.jpg,0244,30,70,100,150
COLOR_PATTERN_13.jpg,0245,25,59,75,100
FLORAL&GEOMETRIC_PATTERN_3.jpg,0246,30,70,100,150
CUTE_FOREST_PATTERN_8.jpg,0247,15,30,45,70
VERY_FRIENDLY_PATTERN_13.jpg,0248,15,30,45,70
PATTERN_541.jpg,0249,15,30,45,70
light blue tile.jpg,0250,30,70,100,150
