"Old File Name","New SKU",Width,Height,Size1,Size2,Size3,Size4,Size5,Size6,Error
YouAreUpToYouSVG.svg,20190727_YouAreUpToYouSVG.svg,358,708,"w=12, h=23.731843575419","w=20, h=39.553072625698","w=28, h=55.374301675978","w=35, h=69.217877094972","w=48, h=94.927374301676","w=24.271186440678, h=48","decal too tall for mockup"
"I've got a good heart but this mouth by DigitalistDesigns.svg",20190727_I've_got_a_good_heart_but_this_mouth_by_DigitalistDesigns.svg,873,911,"w=12, h=12.522336769759","w=20, h=20.870561282932","w=28, h=29.218785796105","w=35, h=36.523482245132","w=48, h=50.089347079038","w=45.997804610318, h=48",
